tweet_id,retweet_count,favourite_count
892420643555336193,7340,34978
892177421306343426,5475,30279
891815181378084864,3621,22784
891689557279858688,7529,38245
891327558926688256,8108,36522
891087950875897856,2715,18419
890971913173991426,1757,10715
890729181411237888,16462,58914
890609185150312448,3767,25348
890240255349198849,6374,28924
890006608113172480,6402,27897
889880896479866881,4340,25369
889665388333682689,8721,43549
889638837579907072,3896,24482
889531135344209921,1965,13791
889278841981685760,4634,22854
888917238123831296,3904,26460
888804989199671297,3696,23231
888554962724278272,3005,17906
888078434458587136,3032,19797
887705289381826560,4711,27532
887517139158093824,10259,42117
887473957103951883,15673,62300
887343217045368832,9190,30554
887101392804085760,5202,27862
886983233522544640,6657,31546
886736880519319552,2764,10844
886680336477933568,3904,20432
886366144734445568,2760,19179
886267009285017600,3,107
886258384151887873,5513,25409
886054160059072513,96,0
885984800019947520,5853,29580
885528943205470208,5574,32660
885518971528720385,3261,18604
885311592912609280,16119,0
885167619883638784,3816,19875
884925521741709313,15748,69807
884876753390489601,4876,25259
884562892145688576,4097,22077
884441805382717440,4970,24639
884247878851493888,17715,65758
884162670584377345,2612,18537
883838122936631299,2983,19848
883482846933004288,8620,41620
883360690899218434,3211,20602
883117836046086144,5782,33660
882992080364220416,3380,21696
882762694511734784,4263,25655
882627270321602560,5288,25477
882268110199369728,10094,40623
882045870035918850,4244,26615
881906580714921986,2968,22139
881666595344535552,9321,46060
881633300179243008,8,114
881536004380872706,13981,44941
881268444196462592,4643,21173
880935762899988482,2441,15551
880872448815771648,3335,19368
880465832366813184,5426,25836
880221127280381952,3626,24490
880095782870896641,3795,25120
879862464715927552,3042,20365
879674319642796034,10,288
879492040517615616,2766,21379
879415818425184262,39011,96064
879376492567855104,2740,15342
879130579576475649,5969,0
879050749262655488,4125,20506
879008229531029506,2342,17309
878776093423087618,3596,17655
878604707211726852,6184,27352
878404777348136964,1116,0
878316110768087041,5786,0
878281511006478336,1116,7021
878057613040115712,5969,38321
877736472329191424,16556,71907
877611172832227328,71,0
877556246731214848,3319,20650
877316821321428993,4561,24986
877201837425926144,4861,24667
876838120628539392,2922,18853
876537666061221889,4126,21681
876484053909872640,2077,17117
876120275196170240,4081,25531
875747767867523072,3751,22910
875144289856114688,4298,20004
875097192612077568,5349,25045
875021211251597312,4146,23308
874680097055178752,4079,25398
874434818259525634,12753,0
874296783580663808,3635,23804
874057562936811520,3509,20768
874012996292530176,8979,31181
873580283840344065,3464,22154
873337748698140672,1392,0
873213775632977920,1392,6547
872967104147763200,4761,24906
872820683541237760,3281,13490
872620804844003328,3212,18977
872486979161796608,8034,37292
872122724285648897,7160,31325
871879754684805121,9653,34334
871762521631449091,3079,18504
871515927908634625,3066,18487
871166179821445120,5064,0
871102520638267392,4880,19174
871032628920680449,3370,20852
870804317367881728,5477,30816
870726314365509632,3,110
870656317836468226,2305,11259
870374049280663552,23668,76403
870308999962521604,3680,20119
870063196459192321,7375,33511
869772420881756160,9036,39179
869702957897576449,5589,25891
869596645499047938,2762,14686
869227993411051520,3345,18763
868880397819494401,12805,60006
868639477480148993,1830,0
868622495443632128,4703,24456
868552278524837888,1830,9275
867900495410671616,3733,22316
867774946302451713,6536,31282
867421006826221569,2225,14799
867072653475098625,106,0
867051520902168576,7055,29661
866720684873056260,4306,18424
866686824827068416,3092,17753
866450705531457537,31574,112635
866334964761202691,12753,48227
866094527597207552,7498,0
865718153858494464,5051,23733
865359393868664832,4493,24430
865006731092295680,6950,25897
864873206498414592,7806,29784
864279568663928832,2706,13501
864197398364647424,7927,27668
863907417377173506,3733,19095
863553081350529029,3782,14107
863471782782697472,2173,0
863432100342583297,4734,22024
863427515083354112,84,2030
863079547188785154,1001,8139
863062471531167744,2173,7794
862831371563274240,4632,17782
862722525377298433,3213,15861
862457590147678208,4443,18913
862096992088072192,20895,68672
861383897657036800,9692,33477
861288531465048066,3743,15925
861005113778896900,3463,15511
860981674716409858,1935,0
860924035999428608,708,0
860563773140209665,1935,6960
860524505164394496,4800,21997
860276583193509888,3199,17131
860184849394610176,5322,15489
860177593139703809,28040,0
859924526012018688,3723,18259
859851578198683649,3206,14410
859607811541651456,1410,17389
859196978902773760,27419,83562
859074603037188101,12457,31493
858860390427611136,7398,0
858843525470990336,3169,14587
858471635011153920,4446,20166
858107933456039936,2643,14721
857989990357356544,2364,15024
857746408056729600,9739,31965
857393404942143489,1497,5509
857263160327368704,4141,18831
857214891891077121,16,210
857062103051644929,154,0
857029823797047296,3648,17651
856543823941562368,2652,15355
856526610513747968,1731,11157
856330835276025856,615,0
856288084350160898,15,487
856282028240666624,5797,26056
855862651834028034,22,313
855860136149123072,894,4599
855857698524602368,1945,11190
855851453814013952,16737,43224
855818117272018944,5017,25099
855459453768019968,7600,28045
855245323840757760,5506,0
855138241867124737,39,0
854732716440526848,5616,21435
854482394044301312,6308,27535
854365224396361728,4347,17824
854120357044912130,6929,30216
854010172552949760,2921,15358
853760880890318849,5356,27014
853639147608842240,9297,32741
853299958564483072,3303,14662
852936405516943360,1853,0
852912242202992640,1678,8523
852672615818899456,2013,14149
852553447878664193,3249,15426
852311364735569921,9272,31429
852226086759018497,6372,18950
852189679701164033,1481,10911
851861385021730816,19,0
851591660324737024,3253,15480
851464819735769094,6605,23067
851224888060895234,5393,19694
850753642995093505,8483,29240
850380195714523136,2436,12493
850333567704068097,308,3294
850145622816686080,3544,15545
850019790995546112,4567,19456
849776966551130114,7124,28970
849668094696017920,4659,0
849412302885593088,2958,15169
849336543269576704,1770,10902
849051919805034497,7957,40434
848690551926992896,4079,24098
848324959059550208,4351,23643
848213670039564288,675,7815
848212111729840128,2840,15612
847978865427394560,3066,0
847971574464610304,416,0
847962785489326080,4792,22512
847842811428974592,1240,5182
847617282490613760,389,6688
847606175596138505,3234,17978
847251039262605312,4089,19644
847157206088847362,5503,19009
847116187444137987,3006,20582
846874817362120707,3707,19260
846514051647705089,10891,42698
846505985330044928,2900,13544
846153765933735936,8535,30245
846139713627017216,9560,29784
846042936437604353,2703,15343
845812042753855489,8218,28029
845677943972139009,4558,24210
845397057150107648,1684,7322
845306882940190720,5084,22407
845098359547420673,7241,0
844979544864018432,2412,13115
844973813909606400,2994,14436
844580511645339650,2943,15817
844223788422217728,2072,13150
843981021012017153,2806,14631
843856843873095681,4369,20680
843604394117681152,2590,16251
843235543001513987,5681,20709
842846295480000512,3451,14734
842765311967449089,1205,6484
842535590457499648,3334,17481
842163532590374912,5506,23548
842115215311396866,2876,13482
841833993020538882,14239,0
841680585030541313,7459,24874
841439858740625411,3484,12159
841320156043304961,5252,19113
841314665196081154,4410,15281
841077006473256960,5064,22064
840761248237133825,1674,0
840728873075638272,15264,0
840698636975636481,2,172
840696689258311684,923,11863
840632337062862849,1674,8698
840370681858686976,4339,15879
840268004936019968,5458,18588
839990271299457024,2164,12963
839549326359670784,7398,26498
839290600511926273,137,0
839239871831150596,6216,26182
838952994649550848,3825,19008
838921590096166913,1948,10773
838916489579200512,32,0
838831947270979586,10514,0
838561493054533637,1269,10616
838476387338051585,4534,21736
838201503651401729,9594,0
838150277551247360,318,1611
838085839343206401,1,136
838083903487373313,2971,17077
837820167694528512,7498,32996
837482249356513284,424,3739
837471256429613056,2159,12395
837110210464448512,2260,15559
836989968035819520,2199,12367
836753516572119041,4440,18781
836677758902222849,2125,12244
836648853927522308,531,0
836397794269200385,26326,0
836380477523124226,2868,14346
836260088725786625,4135,20678
836001077879255040,4086,18487
835685285446955009,7796,0
835574547218894849,3455,17268
835536468978302976,1615,0
835309094223372289,20057,0
835297930240217089,2858,15990
835264098648616962,1615,7487
835246439529840640,68,2047
835172783151792128,5526,25410
835152434251116546,2876,21724
834931633769889797,1556,10469
834786237630337024,5306,20847
834574053763584002,2414,13255
834477809192075265,10210,0
834458053273591808,1606,9346
834209720923721728,4548,19976
834167344700198914,3527,15388
834089966724603904,2050,9750
834086379323871233,2118,12691
833863086058651648,2309,13072
833826103416520705,3610,17632
833732339549220864,212,0
833722901757046785,3114,20314
833479644947025920,1961,14474
833124694597443584,4659,19667
832998151111966721,2114,12890
832769181346996225,38,0
832757312314028032,3480,16401
832682457690300417,2805,11545
832645525019123713,512,2849
832636094638288896,2677,15450
832397543355072512,2125,11650
832369877331693569,3066,16700
832273440279240704,2244,11045
832215909146226688,5992,0
832215726631055365,8969,0
832088576586297345,2,61
832040443403784192,9225,0
832032802820481025,4493,17374
831939777352105988,5906,23327
831926988323639298,34,325
831911600680497154,6257,26823
831670449226514432,1745,10159
831650051525054464,1853,6932
831552930092285952,2249,8740
831322785565769729,1495,9045
831315979191906304,1078,6362
831309418084069378,2378,11458
831262627380748289,1974,11584
830956169170665475,1434,7773
830583320585068544,16119,64953
830173239259324417,5464,0
830097400375152640,2823,9510
829878982036299777,4813,0
829861396166877184,1867,11938
829501995190984704,10210,30920
829449946868879360,1937,10196
829141528400556032,7083,23736
829011960981237760,15808,52001
828801551087042563,3304,0
828770345708580865,5649,24935
828708714936930305,10805,35580
828650029636317184,1292,9283
828409743546925057,1117,6204
828408677031882754,1242,7505
828381636999917570,2149,12287
